,Property Type,Transaction Type,City,District,Price (Million VND),Area (m2),Direction,Rooms,Toilets,Legal Papers
18736,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,19944.4,84.9,Null,2.0,1.0,Giấy tờ khác
18737,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8532.9,93.3,Null,2.0,2.0,Đã có sổ
18738,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3277.8,44.3,Null,1.0,1.0,Đang chờ sổ
18739,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,10213.9,64.1,Null,2.0,1.0,Giấy tờ khác
18740,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6879.9,64.5,Đông Bắc,2.0,1.0,Giấy tờ khác
18741,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3011.3,115.5,Null,4.0,3.0,Giấy tờ khác
18742,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,11529.5,101.8,Null,3.0,2.0,Đang chờ sổ
18743,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,11339.9,68.0,Tây Nam,2.0,1.0,Đã có sổ
18744,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3212.8,52.3,Nam,2.0,1.0,Đã có sổ
18745,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5963.7,128.1,Null,4.0,3.0,Đang chờ sổ
18746,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,8451.9,87.3,Null,2.0,2.0,Giấy tờ khác
18747,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 12,7507.7,78.7,Null,3.0,2.0,Giấy tờ khác
18748,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,19328.7,80.0,Null,2.0,1.0,Giấy tờ khác
18749,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3647.4,100.7,Null,3.0,3.0,Đã có sổ
18750,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4020.6,82.2,Tây Bắc,2.0,1.0,Đang chờ sổ
18751,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,10946.9,159.1,Bắc,2.0,2.0,Đã có sổ
18752,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3854.6,48.8,Null,2.0,1.0,Giấy tờ khác
18753,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7363.9,78.7,Nam,3.0,1.0,Giấy tờ khác
18754,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,10459.2,97.6,Nam,3.0,1.0,Đang chờ sổ
18755,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7909.3,80.4,Tây Bắc,2.0,2.0,Đang chờ sổ
18756,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,6795.1,106.4,Đông Nam,3.0,2.0,Đã có sổ
18757,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8328.6,88.6,Tây Nam,2.0,2.0,Giấy tờ khác
18758,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7172.5,93.9,Đông Nam,3.0,2.0,Đang chờ sổ
18759,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2808.6,56.5,Tây Nam,1.0,1.0,Đã có sổ
18760,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2673.9,99.4,Null,2.0,1.0,Giấy tờ khác
18761,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,14234.7,110.3,Bắc,3.0,3.0,Giấy tờ khác
18762,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,11853.9,83.8,Null,3.0,1.0,Đang chờ sổ
18763,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4928.2,115.4,Null,2.0,3.0,Đang chờ sổ
18764,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,9133.4,107.9,Nam,3.0,2.0,Đang chờ sổ
18765,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3009.8,42.2,Đông Nam,2.0,1.0,Giấy tờ khác
18766,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5287.5,61.6,Null,2.0,1.0,Đã có sổ
18767,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,9559.3,86.2,Null,3.0,2.0,Đang chờ sổ
18768,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2075.5,61.9,Tây Nam,2.0,1.0,Giấy tờ khác
18769,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Tân Bình,4957.1,67.9,Bắc,2.0,1.0,Đã có sổ
18770,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6005.9,81.3,Bắc,2.0,1.0,Giấy tờ khác
18771,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,11459.3,115.0,Tây Nam,4.0,3.0,Đang chờ sổ
18772,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5288.2,54.1,Null,2.0,1.0,Đang chờ sổ
18773,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,12112.3,101.1,Đông,4.0,2.0,Giấy tờ khác
18774,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 12,4332.6,87.6,Null,2.0,1.0,Đang chờ sổ
18775,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4229.4,58.8,Đông Nam,1.0,1.0,Giấy tờ khác
18776,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3485.1,78.7,Đông,3.0,2.0,Đang chờ sổ
18777,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7976.1,70.4,Null,2.0,1.0,Đã có sổ
18778,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5016.2,57.5,Đông Bắc,1.0,1.0,Giấy tờ khác
18779,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,4734.6,129.1,Tây,4.0,2.0,Đã có sổ
18780,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3197.0,41.9,Null,1.0,1.0,Đang chờ sổ
18781,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2093.4,83.1,Tây,2.0,2.0,Giấy tờ khác
18782,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,8326.6,89.8,Đông Bắc,2.0,2.0,Giấy tờ khác
18783,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,6530.2,137.4,Tây Bắc,2.0,2.0,Đã có sổ
18784,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4882.5,59.6,Tây Nam,1.0,1.0,Giấy tờ khác
18785,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3901.6,68.6,Tây Bắc,2.0,1.0,Giấy tờ khác
18786,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4111.6,56.6,Đông Nam,1.0,1.0,Giấy tờ khác
18787,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7082.8,31.5,Nam,1.0,1.0,Giấy tờ khác
18788,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8897.5,72.4,Null,2.0,2.0,Đang chờ sổ
18789,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7685.5,100.8,Null,2.0,2.0,Đã có sổ
18790,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,7609.5,119.4,Đông Bắc,4.0,2.0,Đang chờ sổ
18791,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,10967.0,117.9,Bắc,4.0,3.0,Giấy tờ khác
18792,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5686.6,73.5,Tây Nam,3.0,1.0,Đang chờ sổ
18793,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4538.0,47.2,Null,1.0,1.0,Đã có sổ
18794,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4941.3,41.1,Đông,1.0,1.0,Đã có sổ
18796,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8971.1,106.3,Tây,4.0,2.0,Giấy tờ khác
18797,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4058.9,41.1,Tây,2.0,1.0,Đang chờ sổ
18798,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,18074.8,86.5,Đông Bắc,2.0,2.0,Giấy tờ khác
18799,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,12653.1,105.3,Tây Bắc,3.0,3.0,Đã có sổ
18800,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,10744.4,101.4,Đông Bắc,3.0,3.0,Đã có sổ
18801,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,16052.9,65.8,Tây,2.0,1.0,Giấy tờ khác
18802,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4257.8,58.3,Tây Nam,1.0,1.0,Giấy tờ khác
18803,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,7268.6,110.9,Tây Bắc,4.0,2.0,Đã có sổ
18804,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,11462.6,87.3,Tây Nam,2.0,2.0,Giấy tờ khác
18805,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4939.0,58.5,Null,1.0,1.0,Giấy tờ khác
18806,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6787.6,69.1,Null,1.0,1.0,Đã có sổ
18807,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,11371.2,64.8,Bắc,2.0,1.0,Đang chờ sổ
18808,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5954.6,62.2,Null,2.0,1.0,Đang chờ sổ
18809,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,9511.4,146.7,Tây,4.0,2.0,Đã có sổ
18810,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4977.8,39.2,Null,1.0,1.0,Đã có sổ
18811,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7878.4,63.7,Tây Bắc,1.0,1.0,Đang chờ sổ
18812,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5877.0,45.4,Null,2.0,1.0,Giấy tờ khác
18813,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5422.1,94.6,Đông,3.0,1.0,Đã có sổ
18814,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7904.4,100.9,Tây,4.0,2.0,Đã có sổ
18815,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,9575.4,110.9,Đông,3.0,2.0,Đang chờ sổ
18816,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5554.7,155.5,Null,4.0,3.0,Giấy tờ khác
18817,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,11445.9,108.8,Null,4.0,3.0,Đã có sổ
18818,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8988.6,78.7,Null,3.0,2.0,Giấy tờ khác
18819,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,9513.8,100.8,Tây Bắc,2.0,2.0,Giấy tờ khác
18820,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,8492.6,150.3,Null,4.0,3.0,Giấy tờ khác
18821,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,13879.5,108.8,Đông Bắc,3.0,3.0,Giấy tờ khác
18822,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5708.4,48.6,Null,1.0,1.0,Giấy tờ khác
18823,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6553.4,119.8,Null,4.0,2.0,Giấy tờ khác
18824,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,11157.7,87.2,Tây Bắc,2.0,2.0,Giấy tờ khác
18825,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10364.7,118.9,Tây Bắc,3.0,3.0,Giấy tờ khác
18826,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,14471.2,112.0,Đông Bắc,4.0,2.0,Giấy tờ khác
18827,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4263.1,137.4,Bắc,4.0,2.0,Giấy tờ khác
18828,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,7910.2,131.0,Null,2.0,3.0,Giấy tờ khác
18829,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6846.3,59.7,Null,2.0,1.0,Đã có sổ
18830,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5203.4,45.4,Null,2.0,1.0,Đã có sổ
18831,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7086.5,125.4,Đông,3.0,2.0,Giấy tờ khác
18832,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5920.2,139.1,Bắc,3.0,2.0,Đang chờ sổ
18833,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1843.9,65.1,Tây Nam,1.0,1.0,Giấy tờ khác
18834,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,10850.3,86.0,Null,2.0,2.0,Đã có sổ
18835,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 12,3649.7,105.5,Đông Bắc,3.0,2.0,Đang chờ sổ
18836,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8791.9,81.6,Nam,3.0,2.0,Đã có sổ
18837,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,9967.6,114.6,Tây,3.0,2.0,Giấy tờ khác
18838,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6474.6,52.5,Null,1.0,1.0,Đang chờ sổ
18839,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,9377.8,83.7,Tây Nam,2.0,1.0,Giấy tờ khác
18840,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8792.2,109.9,Tây Nam,4.0,3.0,Giấy tờ khác
18841,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5938.3,73.3,Null,3.0,1.0,Đã có sổ
18842,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4297.0,51.2,Đông Bắc,2.0,1.0,Giấy tờ khác
18843,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6940.0,68.9,Đông Nam,1.0,1.0,Đang chờ sổ
18845,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,12851.7,51.4,Null,2.0,1.0,Đã có sổ
18846,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,10511.2,88.3,Tây,3.0,1.0,Đã có sổ
18847,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4571.2,59.7,Null,2.0,1.0,Đang chờ sổ
18848,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,16279.0,85.0,Nam,3.0,2.0,Giấy tờ khác
18849,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6852.4,96.3,Đông,2.0,1.0,Đang chờ sổ
18850,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6556.1,153.8,Tây Nam,3.0,3.0,Đã có sổ
18851,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10874.8,95.7,Nam,3.0,2.0,Giấy tờ khác
18852,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,9228.2,96.1,Bắc,2.0,1.0,Đã có sổ
18853,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18244.7,81.6,Tây Nam,2.0,1.0,Đã có sổ
18854,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3264.1,75.6,Đông Nam,3.0,2.0,Đã có sổ
18855,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,13342.1,118.5,Đông Bắc,3.0,2.0,Đang chờ sổ
18856,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4708.6,78.7,Đông,3.0,3.0,Đang chờ sổ
18858,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,12216.1,57.2,Tây Bắc,2.0,1.0,Đã có sổ
18859,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,8384.3,52.8,Null,1.0,1.0,Giấy tờ khác
18860,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,12670.2,115.4,Đông,4.0,3.0,Đang chờ sổ
18861,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7609.9,70.0,Đông Nam,2.0,1.0,Giấy tờ khác
18862,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2581.9,86.7,Đông,3.0,1.0,Giấy tờ khác
18863,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4239.6,50.2,Null,2.0,1.0,Giấy tờ khác
18864,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3767.3,98.1,Null,3.0,2.0,Giấy tờ khác
18866,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5445.3,57.7,Đông Nam,2.0,1.0,Giấy tờ khác
18867,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8717.8,118.1,Null,4.0,2.0,Đã có sổ
18868,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,19782.5,87.8,Null,3.0,1.0,Giấy tờ khác
18869,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10572.2,90.0,Tây,2.0,1.0,Giấy tờ khác
18870,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3674.0,45.9,Null,2.0,1.0,Giấy tờ khác
18871,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6681.7,124.6,Tây,3.0,3.0,Giấy tờ khác
18872,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,18922.8,80.7,Null,2.0,1.0,Đang chờ sổ
18873,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5154.2,50.5,Đông Bắc,1.0,1.0,Giấy tờ khác
18875,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5852.2,78.7,Null,2.0,1.0,Đang chờ sổ
18876,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7698.5,64.8,Null,1.0,1.0,Giấy tờ khác
18877,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,12033.0,92.7,Null,3.0,1.0,Đang chờ sổ
18878,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 3,14525.0,67.9,Null,1.0,1.0,Đã có sổ
18879,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3725.0,42.3,Bắc,2.0,1.0,Giấy tờ khác
18880,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,12335.5,55.7,Tây Bắc,2.0,1.0,Giấy tờ khác
18881,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6916.2,79.2,Bắc,2.0,1.0,Giấy tờ khác
18882,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9391.1,59.0,Null,1.0,1.0,Đã có sổ
18883,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10955.4,97.3,Nam,2.0,1.0,Đang chờ sổ
18884,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7474.9,96.0,Null,3.0,1.0,Giấy tờ khác
18885,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,10217.5,94.5,Tây Nam,3.0,2.0,Giấy tờ khác
18886,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3432.1,94.9,Nam,2.0,1.0,Đang chờ sổ
18887,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8170.4,112.8,Đông Nam,3.0,3.0,Giấy tờ khác
18888,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8412.5,104.3,Nam,4.0,2.0,Đang chờ sổ
18889,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5690.7,38.7,Tây Nam,1.0,1.0,Giấy tờ khác
18890,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4151.5,52.0,Nam,1.0,1.0,Giấy tờ khác
18891,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7796.5,31.5,Null,1.0,1.0,Giấy tờ khác
18892,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7595.6,57.8,Tây Nam,1.0,1.0,Giấy tờ khác
18893,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4649.8,100.8,Null,3.0,3.0,Giấy tờ khác
18894,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,6216.6,64.6,Đông,2.0,1.0,Đang chờ sổ
18895,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,9576.2,110.0,Nam,4.0,3.0,Đang chờ sổ
18896,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3831.1,78.7,Tây Bắc,4.0,2.0,Đã có sổ
18897,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6378.8,30.4,Null,1.0,1.0,Đã có sổ
18898,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,8114.3,48.9,Tây,1.0,1.0,Giấy tờ khác
18899,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3825.6,47.3,Bắc,1.0,1.0,Giấy tờ khác
18900,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4804.3,69.7,Tây,2.0,1.0,Đang chờ sổ
18901,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3501.3,41.7,Tây,2.0,1.0,Đang chờ sổ
18902,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,11049.6,93.6,Nam,2.0,1.0,Giấy tờ khác
18903,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5416.1,64.4,Đông,2.0,1.0,Giấy tờ khác
18904,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,7679.3,125.0,Tây Nam,2.0,1.0,Đã có sổ
18905,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3422.2,45.4,Đông,2.0,1.0,Đang chờ sổ
18906,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,9622.6,98.5,Tây Bắc,3.0,1.0,Đang chờ sổ
18907,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,10079.7,59.5,Đông Nam,2.0,1.0,Đang chờ sổ
18908,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,14816.6,115.3,Đông,3.0,3.0,Đã có sổ
18909,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6558.5,98.9,Tây Nam,2.0,2.0,Đang chờ sổ
18910,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5858.7,98.1,Bắc,2.0,2.0,Đang chờ sổ
18911,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5625.2,55.8,Đông Nam,2.0,1.0,Giấy tờ khác
18912,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7351.3,85.2,Đông Bắc,3.0,2.0,Đã có sổ
18913,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,10300.6,113.7,Null,4.0,2.0,Đang chờ sổ
18914,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6072.9,72.6,Null,2.0,2.0,Giấy tờ khác
18915,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5279.8,51.3,Nam,1.0,1.0,Giấy tờ khác
18916,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1370.0,52.1,Null,1.0,1.0,Giấy tờ khác
18917,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,11155.5,86.0,Null,2.0,1.0,Giấy tờ khác
18918,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,13336.0,69.2,Bắc,1.0,1.0,Giấy tờ khác
18919,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3265.8,53.7,Null,2.0,1.0,Đang chờ sổ
18920,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4366.3,53.5,Null,1.0,1.0,Giấy tờ khác
18921,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 7,6629.1,72.2,Tây Nam,2.0,1.0,Giấy tờ khác
18922,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,13613.6,117.8,Tây,3.0,2.0,Giấy tờ khác
18923,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,10144.4,78.7,Nam,2.0,1.0,Đã có sổ
18924,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6870.0,66.7,Bắc,2.0,1.0,Giấy tờ khác
18925,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3250.4,42.8,Bắc,2.0,1.0,Giấy tờ khác
18926,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,10673.4,105.8,Bắc,4.0,2.0,Giấy tờ khác
18927,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5451.3,62.8,Null,1.0,1.0,Đang chờ sổ
18928,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6033.1,125.7,Đông Nam,3.0,3.0,Giấy tờ khác
18929,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3068.6,65.9,Null,1.0,1.0,Đã có sổ
18930,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,13826.2,108.6,Tây Nam,3.0,2.0,Đã có sổ
18931,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6405.4,145.5,Đông Bắc,4.0,3.0,Đã có sổ
18932,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6126.5,68.6,Bắc,1.0,1.0,Giấy tờ khác
